"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX17677028","GSM6597426: SH-SY5Y-1 (TEQUILA-seq_48h); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209049","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677027","GSM6597425: SH-SY5Y-3 (TEQUILA-seq_8h); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209048","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677026","GSM6597424: SH-SY5Y-2 (TEQUILA-seq_8h); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209047","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677025","GSM6597423: SH-SY5Y-1 (TEQUILA-seq_8h); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209046","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677024","GSM6597422: SH-SY5Y-3 (TEQUILA-seq_4h); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209045","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677023","GSM6597421: SH-SY5Y-2 (TEQUILA-seq_4h); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209044","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677022","GSM6597420: SH-SY5Y-1 (TEQUILA-seq_4h); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209043","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677021","GSM6597419: SH-SY5Y-3 (1D cDNA); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209042","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677020","GSM6597418: SH-SY5Y-2 (1D cDNA); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209041","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677019","GSM6597417: SH-SY5Y-1 (1D cDNA); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209040","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677018","GSM6597416: SH-SY5Y-3 (direct RNA); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209039","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677017","GSM6597415: SH-SY5Y-2 (direct RNA); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209038","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677016","GSM6597414: SH-SY5Y-1 (direct RNA); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209037","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677015","GSM6597413: Brain-3 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209036","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677014","GSM6597412: Brain-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209035","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677013","GSM6597411: Brain-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209034","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677012","GSM6597410: Brain-3 (xGenLockdown-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209033","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677011","GSM6597409: Brain-2 (xGenLockdown-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209032","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677010","GSM6597408: Brain-1 (xGenLockdown-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209031","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677009","GSM6597407: Brain-3 (1D cDNA); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209030","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677008","GSM6597406: Brain-2 (1D cDNA); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209029","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677007","GSM6597405: Brain-1 (1D cDNA); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209028","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
