Run,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,nanopore_library_type,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Cell_Line,lineage,Tissue,AvgSpotLen,Bases,Bytes,create_date,version
SRR21678883,RNA-Seq,PRJNA883409,SAMN30965296,GEO,public,nanopore,s3,s3.us-east-1,SRX17677109,GSM6597477,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597477,MDA-MB-175-VII,SRP398751,MDA-MB-175-VII,Human breast cancer HER2 enriched,,,,,,
SRR21678884,RNA-Seq,PRJNA883409,SAMN30965297,GEO,public,nanopore,s3,s3.us-east-1,SRX17677110,GSM6597478,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597478,MDA-MB-361,SRP398751,MDA-MB-361,Human breast cancer HER2 enriched,,,,,,
SRR21678885,RNA-Seq,PRJNA883409,SAMN30965298,GEO,public,nanopore,s3,s3.us-east-1,SRX17677111,GSM6597479,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597479,MDA-MB-361,SRP398751,MDA-MB-361,Human breast cancer HER2 enriched,,,,,,
SRR21678886,RNA-Seq,PRJNA883409,SAMN30965299,GEO,public,nanopore,s3,s3.us-east-1,SRX17677112,GSM6597480,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597480,MDA-MB-415,SRP398751,MDA-MB-415,Human breast cancer HER2 enriched,,,,,,
SRR21678887,RNA-Seq,PRJNA883409,SAMN30965300,GEO,public,nanopore,s3,s3.us-east-1,SRX17677113,GSM6597481,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597481,MDA-MB-415,SRP398751,MDA-MB-415,Human breast cancer HER2 enriched,,,,,,
SRR21678888,RNA-Seq,PRJNA883409,SAMN30965301,GEO,public,nanopore,s3,s3.us-east-1,SRX17677114,GSM6597482,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597482,MDA-MB-453,SRP398751,MDA-MB-453,Human breast cancer HER2 enriched,,,,,,
SRR21678889,RNA-Seq,PRJNA883409,SAMN30965302,GEO,public,nanopore,s3,s3.us-east-1,SRX17677115,GSM6597483,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597483,MDA-MB-415,SRP398751,MDA-MB-415,Human breast cancer HER2 enriched,,,,,,
SRR21678890,RNA-Seq,PRJNA883409,SAMN30965303,GEO,public,nanopore,s3,s3.us-east-1,SRX17677116,GSM6597484,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597484,SK-BR-3,SRP398751,SK-BR-3,Human breast cancer HER2 enriched,,,,,,
SRR21678891,RNA-Seq,PRJNA883409,SAMN30965304,GEO,public,nanopore,s3,s3.us-east-1,SRX17677117,GSM6597485,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597485,SK-BR-3,SRP398751,SK-BR-3,Human breast cancer HER2 enriched,,,,,,
SRR21678892,RNA-Seq,PRJNA883409,SAMN30965305,GEO,public,nanopore,s3,s3.us-east-1,SRX17677040,GSM6597486,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597486,UACC-893,SRP398751,UACC-893,Human breast cancer HER2 enriched,,,,,,
SRR21678893,RNA-Seq,PRJNA883409,SAMN30965306,GEO,public,nanopore,s3,s3.us-east-1,SRX17677041,GSM6597487,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597487,UACC-893,SRP398751,UACC-893,Human breast cancer HER2 enriched,,,,,,
SRR21678894,RNA-Seq,PRJNA883409,SAMN30965307,GEO,public,nanopore,s3,s3.us-east-1,SRX17677042,GSM6597488,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597488,ZR-75-30,SRP398751,ZR-75-30,Human breast cancer HER2 enriched,,,,,,
SRR21678895,RNA-Seq,PRJNA883409,SAMN30965308,GEO,public,nanopore,s3,s3.us-east-1,SRX17677043,GSM6597489,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597489,ZR-75-30,SRP398751,ZR-75-30,Human breast cancer HER2 enriched,,,,,,
SRR21678896,RNA-Seq,PRJNA883409,SAMN30965253,GEO,public,nanopore,s3,s3.us-east-1,SRX17677044,GSM6597490,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597490,HCC2218,SRP398751,HCC2218,Human breast cancer HER2 enriched,,,,,,
SRR21678897,RNA-Seq,PRJNA883409,SAMN30965254,GEO,public,nanopore,s3,s3.us-east-1,SRX17677045,GSM6597491,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597491,HCC2218,SRP398751,HCC2218,Human breast cancer HER2 enriched,,,,,,
SRR21678898,RNA-Seq,PRJNA883409,SAMN30965255,GEO,public,nanopore,s3,s3.us-east-1,SRX17677046,GSM6597492,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597492,MDA-kb2,SRP398751,MDA-kb2,Human breast cancer HER2 enriched,,,,,,
SRR21678899,RNA-Seq,PRJNA883409,SAMN30965256,GEO,public,nanopore,s3,s3.us-east-1,SRX17677047,GSM6597493,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597493,MDA-kb2,SRP398751,MDA-kb2,Human breast cancer HER2 enriched,,,,,,
SRR21678900,RNA-Seq,PRJNA883409,SAMN30965257,GEO,public,nanopore,s3,s3.us-east-1,SRX17677048,GSM6597494,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597494,BT-483,SRP398751,BT-483,Human breast cancer luminal,,,,,,
SRR21678901,RNA-Seq,PRJNA883409,SAMN30965258,GEO,public,nanopore,s3,s3.us-east-1,SRX17677049,GSM6597495,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597495,BT-483,SRP398751,BT-483,Human breast cancer luminal,,,,,,
SRR21678902,RNA-Seq,PRJNA883409,SAMN30965259,GEO,public,nanopore,s3,s3.us-east-1,SRX17677050,GSM6597496,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597496,CAMA-1,SRP398751,CAMA-1,Human breast cancer luminal,,,,,,
SRR21678903,RNA-Seq,PRJNA883409,SAMN30965260,GEO,public,nanopore,s3,s3.us-east-1,SRX17677051,GSM6597497,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597497,CAMA-1,SRP398751,CAMA-1,Human breast cancer luminal,,,,,,
SRR21678904,RNA-Seq,PRJNA883409,SAMN30965261,GEO,public,nanopore,s3,s3.us-east-1,SRX17677052,GSM6597498,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597498,HCC1428,SRP398751,HCC1428,Human breast cancer luminal,,,,,,
SRR21678905,RNA-Seq,PRJNA883409,SAMN30965262,GEO,public,nanopore,s3,s3.us-east-1,SRX17677053,GSM6597499,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597499,HCC1428,SRP398751,HCC1428,Human breast cancer luminal,,,,,,
SRR21678906,RNA-Seq,PRJNA883409,SAMN30965263,GEO,public,nanopore,s3,s3.us-east-1,SRX17677054,GSM6597500,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597500,HCC1500,SRP398751,HCC1500,Human breast cancer luminal,,,,,,
SRR21678907,RNA-Seq,PRJNA883409,SAMN30965264,GEO,public,nanopore,s3,s3.us-east-1,SRX17677055,GSM6597501,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597501,HCC1500,SRP398751,HCC1500,Human breast cancer luminal,,,,,,
SRR21678908,RNA-Seq,PRJNA883409,SAMN30965265,GEO,public,nanopore,s3,s3.us-east-1,SRX17677072,GSM6597502,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597502,MCF7,SRP398751,MCF7,Human breast cancer luminal,,,,,,
SRR21678909,RNA-Seq,PRJNA883409,SAMN30965266,GEO,public,nanopore,s3,s3.us-east-1,SRX17677073,GSM6597503,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597503,MCF7,SRP398751,MCF7,Human breast cancer luminal,,,,,,
SRR21678910,RNA-Seq,PRJNA883409,SAMN30965267,GEO,public,nanopore,s3,s3.us-east-1,SRX17677074,GSM6597504,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597504,MDA-MB-134-VI,SRP398751,MDA-MB-134-VI,Human breast cancer luminal,,,,,,
SRR21678911,RNA-Seq,PRJNA883409,SAMN30965268,GEO,public,nanopore,s3,s3.us-east-1,SRX17677075,GSM6597505,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597505,MDA-MB-134-VI,SRP398751,MDA-MB-134-VI,Human breast cancer luminal,,,,,,
SRR21678912,RNA-Seq,PRJNA883409,SAMN30965269,GEO,public,nanopore,s3,s3.us-east-1,SRX17677076,GSM6597506,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597506,T47D,SRP398751,T47D,Human breast cancer luminal,,,,,,
SRR21678913,RNA-Seq,PRJNA883409,SAMN30965270,GEO,public,nanopore,s3,s3.us-east-1,SRX17677077,GSM6597507,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597507,T47D,SRP398751,T47D,Human breast cancer luminal,,,,,,
SRR21678914,RNA-Seq,PRJNA883409,SAMN30965271,GEO,public,nanopore,s3,s3.us-east-1,SRX17677078,GSM6597508,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597508,UACC-812,SRP398751,UACC-812,Human breast cancer luminal,,,,,,
SRR21678915,RNA-Seq,PRJNA883409,SAMN30965272,GEO,public,nanopore,s3,s3.us-east-1,SRX17677079,GSM6597509,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597509,UACC-812,SRP398751,UACC-812,Human breast cancer luminal,,,,,,
SRR21678916,RNA-Seq,PRJNA883409,SAMN30965273,GEO,public,nanopore,s3,s3.us-east-1,SRX17677080,GSM6597510,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597510,ZR-75-1,SRP398751,ZR-75-1,Human breast cancer luminal,,,,,,
SRR21678917,RNA-Seq,PRJNA883409,SAMN30965274,GEO,public,nanopore,s3,s3.us-east-1,SRX17677081,GSM6597511,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,TEQUILA-seq,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597511,ZR-75-1,SRP398751,ZR-75-1,Human breast cancer luminal,,,,,,
SRR21678918,RNA-Seq,PRJNA883409,SAMN30965275,GEO,public,nanopore,s3,s3.us-east-1,SRX17677082,GSM6597512,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,1D cDNA,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597512,HCC1806,SRP398751,HCC1806,Human breast cancer basal A,,,,,,
SRR21678919,RNA-Seq,PRJNA883409,SAMN30965276,GEO,public,nanopore,s3,s3.us-east-1,SRX17677083,GSM6597513,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,1D cDNA,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597513,MDA-MB-157,SRP398751,MDA-MB-157,Human breast cancer basal B,,,,,,
SRR21678920,RNA-Seq,PRJNA883409,SAMN30965277,GEO,public,nanopore,s3,s3.us-east-1,SRX17677084,GSM6597514,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,1D cDNA,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597514,AU-565,SRP398751,AU-565,Human breast cancer HER2 enriched,,,,,,
SRR21678921,RNA-Seq,PRJNA883409,SAMN30965278,GEO,public,nanopore,s3,s3.us-east-1,SRX17677085,GSM6597515,MinION,SINGLE,cDNA,TRANSCRIPTOMIC,1D cDNA,Homo sapiens,OXFORD_NANOPORE,2023-06-07T00:00:00Z,GSM6597515,MCF7,SRP398751,MCF7,Human breast cancer luminal,,,,,,
